Date,Open,High,Low,Close,Volume,Adj Close
2011-11-07,79.94,80.76,79.94,80.71,698000,80.38
2011-11-04,79.66,80.00,78.76,79.75,1016400,79.42
2011-11-03,78.96,80.00,78.70,80.00,778000,79.67
2011-11-02,79.00,79.55,78.51,79.02,973300,78.69
2011-11-01,76.57,79.19,76.04,78.75,1519600,78.42
2011-10-31,78.67,79.56,78.08,78.08,997100,77.76
2011-10-28,78.59,79.75,78.23,79.75,1736900,79.42
2011-10-27,77.36,79.36,77.35,79.05,2179100,78.72
2011-10-26,75.40,77.73,75.40,76.56,1179200,76.24
2011-10-25,74.61,75.86,73.76,75.13,787300,74.82
2011-10-24,75.01,75.50,74.41,75.20,934900,74.89
2011-10-21,74.69,75.25,74.35,75.04,739700,74.73
2011-10-20,74.58,75.70,73.68,73.88,755200,73.57
2011-10-19,74.15,75.20,74.13,74.79,883000,74.48
2011-10-18,72.75,74.86,72.25,74.65,794600,74.34
2011-10-17,73.60,73.74,72.44,72.50,673000,72.20
2011-10-14,73.24,74.09,72.81,74.08,646000,73.77
2011-10-13,73.28,73.78,72.18,72.75,827000,72.45
2011-10-12,73.06,74.50,73.06,74.14,654000,73.83
2011-10-11,73.31,73.78,72.90,73.59,706000,73.28
2011-10-07,72.49,73.49,72.22,72.26,999000,71.96
2011-10-06,70.95,72.81,70.29,72.81,1100000,72.51
2011-10-05,69.00,71.11,68.99,70.49,952000,70.20
2011-10-04,67.50,69.64,66.64,69.36,1500000,69.07
2011-10-03,68.83,69.86,68.17,68.38,1103400,68.10
2011-09-30,70.42,70.70,69.16,70.03,1100000,69.74
2011-09-29,69.31,70.98,69.12,70.98,1225900,70.69
2011-09-28,69.35,69.67,68.75,68.96,1124500,68.67
2011-09-27,69.51,70.63,69.08,69.57,1363400,69.28
2011-09-26,67.78,68.57,66.35,68.57,2147000,68.29
2011-09-23,64.90,67.34,64.90,67.34,1824200,67.06
2011-09-22,64.67,66.10,63.72,65.82,3180200,65.55
2011-09-21,68.26,68.40,65.65,65.65,1630000,65.38
